Date,Transaction Category,Amount,Credit/Debit,Payment Method
2013-02-02,transport,260.0,debit,e-wallet
2013-02-02,food,250.0,debit,cash
2013-02-03,bills,1320.0,debit,online_banking
2013-02-04,entertainment,480.0,debit,cash
2013-02-04,bills,1050.0,debit,cash
2013-02-04,food,110.0,debit,credit_card
2013-02-04,food,330.0,debit,cash
2013-02-05,others,670.0,debit,debit_card
2013-02-05,food,240.0,debit,online_banking
2013-02-05,transport,510.0,debit,e-wallet
2013-02-05,food,130.0,debit,online_banking
2013-02-05,shopping,1260.0,debit,debit_card
2013-02-05,food,180.0,debit,online_banking
2013-02-06,food,360.0,debit,online_banking
2013-02-06,entertainment,1270.0,debit,cash
2013-02-06,entertainment,160.0,debit,credit_card
2013-02-07,food,420.0,debit,online_banking
2013-02-07,bills,1360.0,debit,online_banking
2013-02-07,food,640.0,debit,online_banking
2013-02-07,transport,680.0,debit,cash
2013-02-08,bills,380.0,debit,cash
2013-02-08,others,970.0,debit,cash
2013-02-08,food,670.0,debit,cash
2013-02-08,shopping,1480.0,debit,debit_card
2013-02-08,food,720.0,debit,online_banking
2013-02-09,transport,740.0,debit,debit_card
2013-02-10,food,660.0,debit,debit_card
2013-02-10,entertainment,35.0,debit,online_banking
2013-02-10,others,300.0,debit,debit_card
2013-02-10,food,100.0,debit,e-wallet
2013-02-11,food,120.0,debit,debit_card
2013-02-11,food,180.0,debit,cash
2013-02-11,shopping,760.0,debit,credit_card
2013-02-11,food,190.0,debit,credit_card
2013-02-11,shopping,1310.0,debit,credit_card
2013-02-12,transport,460.0,debit,e-wallet
2013-02-12,bills,1200.0,debit,cash
2013-02-13,transport,330.0,debit,cash
2013-02-13,shopping,490.0,debit,credit_card
2013-02-13,others,960.0,debit,e-wallet
2013-02-13,others,1540.0,debit,debit_card
2013-02-13,bills,1360.0,debit,credit_card
2013-02-14,transport,730.0,debit,debit_card
2013-02-14,entertainment,980.0,debit,debit_card
2013-02-14,food,60.0,debit,e-wallet
2013-02-15,food,600.0,debit,credit_card
2013-02-15,others,650.0,debit,cash
2013-02-15,food,760.0,debit,e-wallet
2013-02-16,others,920.0,debit,cash
2013-02-16,shopping,1010.0,debit,debit_card
2013-02-16,transport,750.0,debit,e-wallet
2013-02-16,entertainment,600.0,debit,credit_card
2013-02-16,food,140.0,debit,online_banking
2013-02-17,food,690.0,debit,credit_card
2013-02-17,transport,680.0,debit,debit_card
2013-02-18,others,930.0,debit,cash
2013-02-18,food,180.0,debit,cash
2013-02-18,food,80.0,debit,credit_card
2013-02-18,transport,280.0,debit,debit_card
2013-02-18,others,1500.0,debit,e-wallet
2013-02-19,bills,1540.0,debit,cash
2013-02-19,transport,590.0,debit,e-wallet
2013-02-19,others,1370.0,debit,online_banking
2013-02-19,food,540.0,debit,credit_card
2013-02-19,shopping,990.0,debit,online_banking
2013-02-19,food,100.0,debit,debit_card
2013-02-19,others,850.0,debit,cash
2013-02-20,transport,440.0,debit,e-wallet
2013-02-20,transport,240.0,debit,cash
2013-02-20,food,560.0,debit,e-wallet
2013-02-20,food,5.0,debit,credit_card
2013-02-21,food,530.0,debit,online_banking
2013-02-21,food,570.0,debit,e-wallet
2013-02-21,food,110.0,debit,e-wallet
2013-02-21,others,840.0,debit,e-wallet
2013-02-21,transport,670.0,debit,credit_card
2013-02-21,transport,690.0,debit,credit_card
2013-02-22,bills,430.0,debit,online_banking
2013-02-22,shopping,630.0,debit,online_banking
2013-02-22,transport,160.0,debit,online_banking
2013-02-22,bills,840.0,debit,cash
2013-02-22,food,160.0,debit,cash
2013-02-23,shopping,710.0,debit,online_banking
2013-02-23,bills,1380.0,debit,credit_card
2013-02-24,food,620.0,debit,cash
2013-02-24,food,200.0,debit,cash
2013-02-24,shopping,450.0,debit,debit_card
2013-02-24,food,250.0,debit,e-wallet
2013-02-25,bills,1080.0,debit,debit_card
2013-02-25,food,480.0,debit,online_banking
2013-02-25,others,55.0,debit,online_banking
2013-02-25,entertainment,840.0,debit,cash
2013-02-25,entertainment,1260.0,debit,credit_card
2013-02-26,bills,410.0,debit,cash
2013-02-26,transport,540.0,debit,e-wallet
2013-02-26,transport,90.0,debit,e-wallet
2013-02-26,entertainment,900.0,debit,cash
2013-02-26,food,760.0,debit,e-wallet
2013-02-27,food,580.0,debit,cash
2013-02-27,food,440.0,debit,online_banking
2013-02-27,entertainment,1530.0,debit,credit_card
2013-02-27,transport,430.0,debit,online_banking
2013-02-28,bills,720.0,debit,cash
2013-02-28,food,210.0,debit,debit_card
2013-02-28,transport,680.0,debit,debit_card
2013-02-28,transport,740.0,debit,e-wallet
2013-02-28,transport,100.0,debit,online_banking
2013-02-28,entertainment,90.0,debit,debit_card
2013-02-28,transport,490.0,debit,debit_card
2013-02-28,transport,110.0,debit,credit_card
2013-03-01,transport,330.0,debit,online_banking
2013-03-01,shopping,90.0,debit,online_banking
2013-03-01,food,390.0,debit,online_banking
2013-03-02,food,450.0,debit,e-wallet
2013-03-02,entertainment,850.0,debit,credit_card
2013-03-02,bills,880.0,debit,online_banking
2013-03-02,transport,290.0,debit,cash
2013-03-02,food,350.0,debit,online_banking
2013-03-03,bills,120.0,debit,debit_card
2013-03-03,others,1530.0,debit,cash
2013-03-03,transport,890.0,debit,debit_card
2013-03-03,food,130.0,debit,debit_card
2013-03-04,food,75.0,debit,credit_card
2013-03-04,food,450.0,debit,credit_card
2013-03-04,transport,450.0,debit,e-wallet
2013-03-04,others,210.0,debit,online_banking
2013-03-04,food,220.0,debit,online_banking
2013-03-05,others,1120.0,debit,credit_card
2013-03-05,shopping,1040.0,debit,credit_card
2013-03-05,food,85.0,debit,credit_card
2013-03-05,transport,510.0,debit,cash
2013-03-05,food,350.0,debit,credit_card
2013-03-06,transport,160.0,debit,credit_card
2013-03-07,transport,440.0,debit,debit_card
2013-03-07,food,280.0,debit,credit_card
2013-03-07,food,590.0,debit,cash
2013-03-07,entertainment,1670.0,debit,online_banking
2013-03-08,others,1800.0,debit,debit_card
2013-03-08,shopping,480.0,debit,debit_card
2013-03-08,transport,570.0,debit,online_banking
2013-03-09,others,1720.0,debit,debit_card
2013-03-09,transport,790.0,debit,cash
2013-03-10,food,710.0,debit,credit_card
2013-03-10,food,400.0,debit,cash
2013-03-10,shopping,440.0,debit,credit_card
2013-03-11,others,30.0,debit,online_banking
2013-03-11,transport,770.0,debit,cash
2013-03-11,transport,310.0,debit,cash
2013-03-11,food,350.0,debit,online_banking
2013-03-12,food,45.0,debit,e-wallet
2013-03-12,food,650.0,debit,e-wallet
2013-03-12,transport,370.0,debit,cash
2013-03-12,food,35.0,debit,e-wallet
2013-03-13,transport,220.0,debit,credit_card
2013-03-13,entertainment,580.0,debit,cash
2013-03-13,food,560.0,debit,online_banking
2013-03-14,bills,620.0,debit,cash
2013-03-14,others,1290.0,debit,credit_card
2013-03-14,others,680.0,debit,cash
2013-03-14,entertainment,1430.0,debit,credit_card
2013-03-15,food,370.0,debit,online_banking
2013-03-17,food,500.0,debit,cash
2013-03-17,food,810.0,debit,debit_card
2013-03-17,others,1500.0,debit,debit_card
2013-03-18,others,690.0,debit,debit_card
2013-03-18,transport,460.0,debit,online_banking
2013-03-18,bills,1350.0,debit,online_banking
2013-03-18,food,220.0,debit,online_banking
2013-03-18,bills,720.0,debit,e-wallet
2013-03-18,bills,1220.0,debit,e-wallet
2013-03-19,food,800.0,debit,debit_card
2013-03-20,transport,320.0,debit,debit_card
2013-03-21,others,820.0,debit,cash
2013-03-21,shopping,1270.0,debit,online_banking
2013-03-21,others,170.0,debit,credit_card
2013-03-21,food,370.0,debit,e-wallet
2013-03-21,transport,120.0,debit,credit_card
2013-03-22,transport,500.0,debit,credit_card
2013-03-23,others,75.0,debit,e-wallet
2013-03-23,entertainment,1160.0,debit,cash
2013-03-23,others,540.0,debit,debit_card
2013-03-23,food,710.0,debit,e-wallet
2013-03-23,others,1060.0,debit,cash
2013-03-23,food,870.0,debit,cash
2013-03-23,food,640.0,debit,online_banking
2013-03-23,bills,1430.0,debit,e-wallet
2013-03-24,others,310.0,debit,online_banking
2013-03-24,food,740.0,debit,cash
2013-03-24,shopping,1230.0,debit,debit_card
2013-03-25,transport,570.0,debit,credit_card
2013-03-25,bills,890.0,debit,credit_card
2013-03-25,transport,330.0,debit,cash
2013-03-25,transport,630.0,debit,debit_card
2013-03-26,shopping,20.0,debit,cash
2013-03-26,transport,220.0,debit,debit_card
2013-03-26,transport,85.0,debit,online_banking
2013-03-26,shopping,70.0,debit,cash
2013-03-26,food,360.0,debit,debit_card
2013-03-27,others,1290.0,debit,cash
2013-03-27,bills,1140.0,debit,online_banking
2013-03-27,food,20.0,debit,credit_card
2013-03-27,transport,360.0,debit,e-wallet
2013-03-27,transport,730.0,debit,online_banking
2013-03-27,food,10.0,debit,e-wallet
2013-03-29,food,360.0,debit,e-wallet
2013-03-29,transport,65.0,debit,credit_card
2013-04-01,shopping,670.0,debit,cash
2013-04-01,others,420.0,debit,cash
2013-04-01,food,670.0,debit,online_banking
2013-04-03,transport,510.0,debit,cash
2013-04-03,bills,600.0,debit,debit_card
2013-04-03,transport,680.0,debit,e-wallet
2013-04-04,transport,340.0,debit,debit_card
2013-04-04,bills,600.0,debit,e-wallet
2013-04-05,food,400.0,debit,credit_card
2013-04-05,food,350.0,debit,online_banking
2013-04-06,transport,160.0,debit,cash
2013-04-07,transport,410.0,debit,online_banking
2013-04-07,transport,690.0,debit,online_banking
2013-04-07,entertainment,1160.0,debit,debit_card
2013-04-07,food,660.0,debit,online_banking
2013-04-08,others,760.0,debit,online_banking
2013-04-08,entertainment,380.0,debit,debit_card
2013-04-08,food,780.0,debit,cash
2013-04-08,shopping,460.0,debit,e-wallet
2013-04-08,transport,740.0,debit,e-wallet
2013-04-09,food,530.0,debit,cash
2013-04-10,transport,740.0,debit,cash
2013-04-10,entertainment,420.0,debit,online_banking
2013-04-10,food,350.0,debit,cash
2013-04-11,entertainment,770.0,debit,online_banking
2013-04-11,food,360.0,debit,debit_card
2013-04-11,food,160.0,debit,cash
2013-04-11,others,1520.0,debit,online_banking
2013-04-12,transport,160.0,debit,online_banking
2013-04-12,bills,1210.0,debit,cash
2013-04-12,food,330.0,debit,cash
2013-04-13,entertainment,1250.0,debit,debit_card
2013-04-13,bills,1430.0,debit,online_banking
2013-04-13,food,20.0,debit,e-wallet
2013-04-13,transport,720.0,debit,e-wallet
2013-04-13,others,1350.0,debit,cash
2013-04-14,food,190.0,debit,cash
2013-04-14,others,240.0,debit,e-wallet
2013-04-15,food,650.0,debit,e-wallet
2013-04-15,food,360.0,debit,credit_card
2013-04-16,bills,140.0,debit,debit_card
2013-04-16,transport,750.0,debit,cash
2013-04-17,food,450.0,debit,e-wallet
2013-04-17,transport,570.0,debit,debit_card
2013-04-19,entertainment,1170.0,debit,credit_card
2013-04-19,transport,600.0,debit,online_banking
2013-04-19,food,260.0,debit,e-wallet
2013-04-19,food,550.0,debit,online_banking
2013-04-19,bills,760.0,debit,online_banking
2013-04-19,transport,380.0,debit,cash
2013-04-19,food,30.0,debit,cash
2013-04-20,bills,1520.0,debit,credit_card
2013-04-20,transport,600.0,debit,credit_card
2013-04-21,food,470.0,debit,cash
2013-04-21,shopping,950.0,debit,debit_card
2013-04-21,food,310.0,debit,online_banking
2013-04-22,transport,730.0,debit,debit_card
2013-04-22,bills,65.0,debit,cash
2013-04-22,food,450.0,debit,cash
2013-04-22,transport,300.0,debit,online_banking
2013-04-22,transport,430.0,debit,cash
2013-04-22,transport,620.0,debit,online_banking
2013-04-23,bills,1220.0,debit,cash
2013-04-23,food,220.0,debit,credit_card
2013-04-23,entertainment,760.0,debit,e-wallet
2013-04-24,food,150.0,debit,cash
2013-04-24,transport,540.0,debit,debit_card
2013-04-24,transport,95.0,debit,credit_card
2013-04-24,shopping,320.0,debit,debit_card
2013-04-24,food,180.0,debit,debit_card
2013-04-25,entertainment,1240.0,debit,debit_card
2013-04-25,food,700.0,debit,debit_card
2013-04-25,transport,15.0,debit,credit_card
2013-04-25,entertainment,230.0,debit,online_banking
2013-04-26,food,610.0,debit,credit_card
2013-04-26,food,320.0,debit,cash
2013-04-26,transport,160.0,debit,e-wallet
2013-04-26,transport,180.0,debit,online_banking
2013-04-26,food,520.0,debit,credit_card
2013-04-26,transport,15.0,debit,cash
2013-04-27,entertainment,450.0,debit,e-wallet
2013-04-27,entertainment,450.0,debit,e-wallet
2013-04-28,entertainment,1520.0,debit,credit_card
2013-04-28,food,310.0,debit,online_banking
2013-05-01,others,590.0,debit,cash
2013-05-03,transport,330.0,debit,online_banking
2013-05-03,others,810.0,debit,debit_card
2013-05-03,others,300.0,debit,cash
2013-05-03,bills,250.0,debit,debit_card
2013-05-03,shopping,1210.0,debit,cash
2013-05-04,food,260.0,debit,online_banking
2013-05-04,shopping,1230.0,debit,credit_card
2013-05-04,transport,710.0,debit,cash
2013-05-04,food,100.0,debit,debit_card
2013-05-04,bills,1530.0,debit,e-wallet
2013-05-04,transport,730.0,debit,credit_card
2013-05-04,bills,910.0,debit,cash
2013-05-05,transport,370.0,debit,cash
2013-05-05,transport,450.0,debit,credit_card
2013-05-06,transport,250.0,debit,cash
2013-05-06,transport,250.0,debit,credit_card
2013-05-06,shopping,170.0,debit,cash
2013-05-06,food,140.0,debit,cash
2013-05-07,food,360.0,debit,cash
2013-05-07,entertainment,360.0,debit,debit_card
2013-05-08,food,360.0,debit,e-wallet
2013-05-09,entertainment,1190.0,debit,e-wallet
2013-05-09,food,450.0,debit,credit_card
2013-05-09,transport,600.0,debit,debit_card
2013-05-10,food,320.0,debit,cash
2013-05-10,food,600.0,debit,online_banking
2013-05-11,food,20.0,debit,debit_card
2013-05-12,transport,430.0,debit,credit_card
2013-05-12,entertainment,140.0,debit,online_banking
2013-05-12,food,600.0,debit,e-wallet
2013-05-13,food,270.0,debit,e-wallet
2013-05-13,others,940.0,debit,debit_card
2013-05-14,food,490.0,debit,credit_card
2013-05-14,others,420.0,debit,e-wallet
2013-05-14,transport,410.0,debit,credit_card
2013-05-14,food,750.0,debit,debit_card
2013-05-15,entertainment,1330.0,debit,cash
2013-05-15,entertainment,1010.0,debit,debit_card
2013-05-16,transport,480.0,debit,online_banking
2013-05-17,bills,760.0,debit,credit_card
2013-05-17,entertainment,570.0,debit,e-wallet
2013-05-17,transport,590.0,debit,debit_card
2013-05-18,bills,620.0,debit,debit_card
2013-05-19,transport,270.0,debit,credit_card
2013-05-19,food,220.0,debit,e-wallet
2013-05-20,food,700.0,debit,cash
2013-05-20,food,540.0,debit,e-wallet
2013-05-20,food,260.0,debit,e-wallet
2013-05-21,food,190.0,debit,e-wallet
2013-05-22,shopping,240.0,debit,debit_card
2013-05-22,transport,65.0,debit,e-wallet
2013-05-23,bills,380.0,debit,credit_card
2013-05-23,shopping,1100.0,debit,cash
2013-05-24,entertainment,560.0,debit,e-wallet
2013-05-25,food,20.0,debit,credit_card
2013-05-25,transport,120.0,debit,online_banking
2013-05-25,food,350.0,debit,e-wallet
2013-05-27,others,520.0,debit,credit_card
2013-05-29,entertainment,10.0,debit,debit_card
2013-05-30,entertainment,1470.0,debit,online_banking
2013-05-31,shopping,1200.0,debit,cash
2013-06-01,entertainment,280.0,debit,e-wallet
2013-06-02,food,450.0,debit,debit_card
2013-06-02,food,210.0,debit,cash
2013-06-02,food,400.0,debit,e-wallet
2013-06-02,others,430.0,debit,online_banking
2013-06-02,transport,600.0,debit,e-wallet
2013-06-03,bills,1190.0,debit,debit_card
2013-06-03,transport,610.0,debit,online_banking
2013-06-04,food,570.0,debit,online_banking
2013-06-04,food,180.0,debit,cash
2013-06-05,transport,440.0,debit,e-wallet
2013-06-05,entertainment,1530.0,debit,debit_card
2013-06-05,transport,25.0,debit,cash
2013-06-05,food,330.0,debit,credit_card
2013-06-05,shopping,1220.0,debit,debit_card
2013-06-05,entertainment,330.0,debit,cash
2013-06-06,others,120.0,debit,credit_card
2013-06-06,food,390.0,debit,e-wallet
2013-06-06,food,230.0,debit,cash
2013-06-06,food,150.0,debit,credit_card
2013-06-06,others,730.0,debit,e-wallet
2013-06-06,transport,530.0,debit,e-wallet
2013-06-06,others,1540.0,debit,online_banking
2013-06-07,bills,980.0,debit,e-wallet
2013-06-07,transport,10.0,debit,online_banking
2013-06-07,entertainment,520.0,debit,credit_card
2013-06-08,entertainment,690.0,debit,e-wallet
2013-06-08,others,440.0,debit,credit_card
2013-06-08,bills,1370.0,debit,debit_card
2013-06-08,food,760.0,debit,e-wallet
2013-06-08,shopping,850.0,debit,e-wallet
2013-06-08,transport,580.0,debit,cash
2013-06-08,transport,15.0,debit,e-wallet
2013-06-09,food,450.0,debit,credit_card
2013-06-09,food,320.0,debit,debit_card
2013-06-09,food,25.0,debit,online_banking
2013-06-10,others,1490.0,debit,online_banking
2013-06-10,transport,570.0,debit,e-wallet
2013-06-10,others,1120.0,debit,e-wallet
2013-06-11,transport,450.0,debit,cash
2013-06-11,transport,580.0,debit,e-wallet
2013-06-11,transport,660.0,debit,debit_card
2013-06-11,shopping,210.0,debit,e-wallet
2013-06-12,transport,260.0,debit,credit_card
2013-06-12,bills,1520.0,debit,debit_card
2013-06-12,transport,75.0,debit,cash
2013-06-12,transport,340.0,debit,credit_card
2013-06-12,transport,160.0,debit,debit_card
2013-06-12,food,120.0,debit,online_banking
2013-06-13,shopping,5.0,debit,e-wallet
2013-06-13,bills,210.0,debit,e-wallet
2013-06-13,transport,140.0,debit,online_banking
2013-06-14,transport,320.0,debit,e-wallet
2013-06-14,transport,480.0,debit,credit_card
2013-06-14,bills,880.0,debit,credit_card
2013-06-14,others,1090.0,debit,online_banking
2013-06-15,others,1060.0,debit,cash
2013-06-15,transport,5.0,debit,online_banking
2013-06-15,transport,700.0,debit,online_banking
2013-06-16,entertainment,520.0,debit,credit_card
2013-06-16,transport,300.0,debit,cash
2013-06-16,food,690.0,debit,e-wallet
2013-06-16,transport,560.0,debit,online_banking
2013-06-16,food,290.0,debit,cash
2013-06-16,others,960.0,debit,e-wallet
2013-06-17,others,500.0,debit,credit_card
2013-06-17,shopping,260.0,debit,credit_card
2013-06-17,food,770.0,debit,online_banking
2013-06-17,others,240.0,debit,credit_card
2013-06-18,others,40.0,debit,online_banking
2013-06-18,food,560.0,debit,credit_card
2013-06-19,bills,380.0,debit,e-wallet
2013-06-19,bills,450.0,debit,credit_card
2013-06-19,food,130.0,debit,credit_card
2013-06-19,transport,210.0,debit,online_banking
2013-06-19,bills,95.0,debit,e-wallet
2013-06-19,shopping,990.0,debit,debit_card
2013-06-20,transport,5.0,debit,debit_card
2013-06-20,food,130.0,debit,e-wallet
2013-06-21,transport,270.0,debit,e-wallet
2013-06-21,food,65.0,debit,e-wallet
2013-06-21,food,730.0,debit,cash
2013-06-21,food,160.0,debit,cash
2013-06-21,shopping,1330.0,debit,e-wallet
2013-06-21,transport,190.0,debit,cash
2013-06-21,shopping,1270.0,debit,debit_card
2013-06-22,transport,620.0,debit,e-wallet
2013-06-22,transport,400.0,debit,credit_card
2013-06-22,food,710.0,debit,online_banking
2013-06-22,entertainment,200.0,debit,online_banking
2013-06-22,transport,640.0,debit,e-wallet
2013-06-23,bills,5.0,debit,online_banking
2013-06-23,shopping,1250.0,debit,e-wallet
2013-06-24,food,110.0,debit,cash
2013-06-25,others,180.0,debit,credit_card
2013-06-25,entertainment,1360.0,debit,credit_card
2013-06-25,bills,390.0,debit,online_banking
2013-06-25,transport,580.0,debit,online_banking
2013-06-26,transport,190.0,debit,e-wallet
2013-06-27,bills,1030.0,debit,online_banking
2013-06-27,food,750.0,debit,e-wallet
2013-06-27,food,290.0,debit,online_banking
2013-06-28,shopping,960.0,debit,online_banking
2013-06-28,food,350.0,debit,credit_card
2013-06-28,others,1110.0,debit,e-wallet
2013-06-28,transport,170.0,debit,cash
2013-07-01,entertainment,1220.0,debit,debit_card
2013-07-01,bills,130.0,debit,credit_card
2013-07-02,entertainment,1380.0,debit,online_banking
2013-07-02,entertainment,1190.0,debit,online_banking
2013-07-02,food,140.0,debit,debit_card
2013-07-02,food,50.0,debit,online_banking
2013-07-02,transport,620.0,debit,credit_card
2013-07-02,entertainment,200.0,debit,e-wallet
2013-07-03,food,140.0,debit,debit_card
2013-07-03,transport,210.0,debit,online_banking
2013-07-04,transport,760.0,debit,online_banking
2013-07-04,transport,35.0,debit,cash
2013-07-04,transport,10.0,debit,debit_card
2013-07-05,entertainment,1530.0,debit,debit_card
2013-07-05,transport,720.0,debit,online_banking
2013-07-05,entertainment,10.0,debit,debit_card
2013-07-05,food,370.0,debit,credit_card
2013-07-06,transport,100.0,debit,e-wallet
2013-07-06,shopping,1110.0,debit,debit_card
2013-07-07,entertainment,880.0,debit,online_banking
2013-07-07,shopping,780.0,debit,debit_card
2013-07-07,transport,680.0,debit,credit_card
2013-07-08,food,160.0,debit,online_banking
2013-07-09,shopping,1370.0,debit,online_banking
2013-07-09,transport,510.0,debit,online_banking
2013-07-09,food,690.0,debit,credit_card
2013-07-09,bills,960.0,debit,online_banking
2013-07-10,transport,330.0,debit,online_banking
2013-07-11,food,250.0,debit,credit_card
2013-07-11,transport,330.0,debit,cash
2013-07-11,transport,730.0,debit,e-wallet
2013-07-11,shopping,1240.0,debit,cash
2013-07-11,transport,660.0,debit,e-wallet
2013-07-12,entertainment,1260.0,debit,cash
2013-07-12,others,910.0,debit,cash
2013-07-12,others,150.0,debit,e-wallet
2013-07-12,food,550.0,debit,debit_card
2013-07-12,food,600.0,debit,credit_card
2013-07-13,bills,350.0,debit,cash
2013-07-13,entertainment,1150.0,debit,credit_card
2013-07-13,food,780.0,debit,online_banking
2013-07-13,transport,600.0,debit,online_banking
2013-07-13,bills,340.0,debit,debit_card
2013-07-13,food,260.0,debit,credit_card
2013-07-14,bills,50.0,debit,debit_card
2013-07-14,transport,630.0,debit,e-wallet
2013-07-14,bills,400.0,debit,online_banking
2013-07-14,transport,280.0,debit,online_banking
2013-07-14,transport,450.0,debit,cash
2013-07-15,food,730.0,debit,online_banking
2013-07-16,food,690.0,debit,e-wallet
2013-07-17,entertainment,10.0,debit,e-wallet
2013-07-17,shopping,440.0,debit,cash
2013-07-17,food,290.0,debit,e-wallet
2013-07-17,entertainment,840.0,debit,e-wallet
2013-07-18,transport,670.0,debit,cash
2013-07-18,transport,60.0,debit,credit_card
2013-07-19,food,680.0,debit,credit_card
2013-07-20,shopping,1360.0,debit,online_banking
2013-07-20,shopping,860.0,debit,credit_card
2013-07-20,others,180.0,debit,debit_card
2013-07-20,shopping,320.0,debit,online_banking
2013-07-20,entertainment,370.0,debit,credit_card
2013-07-21,shopping,630.0,debit,cash
2013-07-21,entertainment,1540.0,debit,e-wallet
2013-07-22,transport,450.0,debit,debit_card
2013-07-22,entertainment,1100.0,debit,e-wallet
2013-07-22,bills,1210.0,debit,online_banking
