Date,Description,Amount,Transaction Type,Category,Account Name
2019-01-17,City Water Charges,35.0,debit,Utilities,Checking
2019-06-01,Credit Card Payment,302.57,credit,Credit Card Payment,Silver Card
2019-07-12,_RARE_,26.64,debit,Restaurants,Platinum Card
2019-08-20,Grocery Store,97.17,debit,Groceries,Silver Card
2018-07-03,Thai Restaurant,7.64,debit,Restaurants,Platinum Card
2018-01-23,Credit Card Payment,357.8,credit,Credit Card Payment,Silver Card
2018-06-29,Hardware Store,37.55,debit,Home Improvement,Platinum Card
2018-12-25,Internet Service Provider,74.99,debit,Internet,Checking
2019-09-09,Spotify,10.69,debit,Music,Platinum Card
2019-06-26,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-06-30,Thai Restaurant,43.38,debit,Restaurants,Platinum Card
2018-03-12,Gas Company,35.0,debit,Utilities,Checking
2018-07-24,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2019-02-19,Credit Card Payment,758.57,debit,Credit Card Payment,Checking
2019-08-03,Shell,41.59,debit,Gas & Fuel,Silver Card
2019-04-06,BP,30.68,debit,Gas & Fuel,Platinum Card
2019-07-22,Credit Card Payment,196.83,credit,Credit Card Payment,Silver Card
2019-07-14,Credit Card Payment,548.98,credit,Credit Card Payment,Silver Card
2018-05-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2018-03-19,Amazon,44.09,debit,Shopping,Platinum Card
2019-02-09,Credit Card Payment,469.82,credit,Credit Card Payment,Platinum Card
2018-04-08,Gas Company,35.0,debit,Utilities,Checking
2019-02-03,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-04-09,Spotify,10.69,debit,Music,Platinum Card
2018-06-02,Mortgage Payment,1106.18,debit,Mortgage & Rent,Checking
2018-09-18,Grocery Store,34.43,debit,Groceries,Platinum Card
2018-03-04,Internet Service Provider,27.0,debit,Movies & DVDs,Silver Card
2018-02-11,Credit Card Payment,56.0,debit,Credit Card Payment,Checking
2019-07-23,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
2018-09-09,Spotify,10.69,debit,Music,Platinum Card
2018-09-17,Pizza Place,30.5,debit,Utilities,Checking
2019-05-04,Netflix,35.0,debit,Movies & DVDs,Silver Card
2018-11-22,_RARE_,9.46,debit,Groceries,Platinum Card
2018-03-18,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-10-16,Power Company,30.0,debit,Utilities,Checking
2019-06-27,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2019-03-13,BP,61.48,debit,Gas & Fuel,Platinum Card
2018-07-20,Amazon,2.75,debit,Shopping,Platinum Card
2018-04-20,Amazon,6.48,debit,Shopping,Platinum Card
2018-09-30,Netflix,18.9,debit,Television,Platinum Card
2019-09-15,Grocery Store,2.75,debit,Groceries,Platinum Card
2018-08-12,Brewing Company,23.0,debit,Alcohol & Bars,Silver Card
2019-07-15,Thai Restaurant,68.92,debit,Restaurants,Silver Card
2018-03-12,Phone Company,65.0,debit,Mobile Phone,Checking
2019-02-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-05-03,Starbucks,9.8,debit,Coffee Shops,Platinum Card
2018-11-01,American Tavern,25.0,debit,Restaurants,Silver Card
2019-09-09,Spotify,10.69,debit,Music,Platinum Card
2019-03-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-07-01,Amazon,13.29,debit,Shopping,Platinum Card
2018-12-09,_RARE_,33.92,debit,Gas & Fuel,Platinum Card
2018-10-07,Credit Card Payment,252.41,credit,Credit Card Payment,Silver Card
2018-09-25,Credit Card Payment,113.79,credit,Credit Card Payment,Silver Card
2018-11-09,Gas Company,30.0,debit,Utilities,Checking
2018-01-25,Internet Service Provider,74.99,debit,Internet,Checking
2019-02-15,Brewing Company,3.0,debit,Alcohol & Bars,Silver Card
2018-05-15,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-04-03,Internet Service Provider,73.99,debit,Internet,Checking
2018-09-18,Credit Card Payment,529.36,credit,Credit Card Payment,Platinum Card
2018-05-21,Brewing Company,2.75,debit,Alcohol & Bars,Platinum Card
2018-09-04,Amazon,17.77,debit,Shopping,Platinum Card
2018-04-04,Netflix,12.76,debit,Movies & DVDs,Platinum Card
2018-05-26,Internet Service Provider,74.0,debit,Internet,Checking
2018-03-06,_RARE_,34.09,debit,Gas & Fuel,Platinum Card
2018-10-24,_RARE_,84.15,debit,Restaurants,Silver Card
2019-07-20,Amazon,15.69,debit,Shopping,Platinum Card
2019-06-06,Credit Card Payment,233.91,debit,Credit Card Payment,Checking
2018-03-28,Grocery Store,27.56,debit,Groceries,Silver Card
2018-07-10,Phone Company,89.45,debit,Mobile Phone,Checking
2018-11-04,Netflix,11.76,debit,Movies & DVDs,Silver Card
2018-02-28,Mortgage Payment,1207.18,debit,Mortgage & Rent,Checking
2018-03-30,Internet Service Provider,74.99,debit,Internet,Checking
2019-06-19,State Farm,40.0,debit,Auto Insurance,Checking
2019-09-22,Credit Card Payment,388.96,debit,Credit Card Payment,Checking
2019-02-10,Grocery Store,35.3,debit,Groceries,Silver Card
2018-04-28,Amazon,11.76,debit,Shopping,Platinum Card
2018-06-14,Barbershop,85.0,debit,Restaurants,Silver Card
2019-09-23,Brunch Restaurant,10.74,debit,Restaurants,Silver Card
2019-04-05,Hardware Store,19.14,debit,Home Improvement,Platinum Card
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-04-18,Thai Restaurant,20.3,debit,Restaurants,Platinum Card
2018-12-01,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-02-09,Phone Company,38.0,debit,Mobile Phone,Checking
2019-07-12,American Tavern,80.83,debit,Restaurants,Silver Card
2019-09-13,Brunch Restaurant,7.0,debit,Restaurants,Silver Card
2019-05-05,Brewing Company,38.0,debit,Alcohol & Bars,Platinum Card
2018-11-20,Amazon,13.55,debit,Shopping,Platinum Card
2019-02-01,Credit Card Payment,452.43,debit,Credit Card Payment,Checking
2018-06-08,BP,30.81,debit,Gas & Fuel,Platinum Card
2019-01-13,Credit Card Payment,549.87,credit,Credit Card Payment,Platinum Card
2018-07-09,Spotify,10.09,debit,Music,Platinum Card
2019-06-04,Grocery Store,13.96,debit,Groceries,Platinum Card
2019-02-06,Brewing Company,32.5,debit,Alcohol & Bars,Platinum Card
2018-03-08,BP,32.76,debit,Gas & Fuel,Platinum Card
2018-04-08,Power Company,65.0,debit,Utilities,Checking
2018-06-12,_RARE_,82.46,debit,Restaurants,Platinum Card
2019-04-04,American Tavern,15.0,debit,Utilities,Checking
2018-05-05,Credit Card Payment,263.21,credit,Credit Card Payment,Platinum Card
2019-09-02,_RARE_,54.11,debit,Fast Food,Platinum Card
2018-10-22,BP,21.62,debit,Gas & Fuel,Silver Card
2018-11-07,Gas Company,65.0,debit,Utilities,Checking
2019-06-05,Amazon,43.24,debit,Shopping,Platinum Card
2018-03-28,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-01-14,Grocery Store,22.36,debit,Groceries,Platinum Card
2018-11-10,Phone Company,80.0,debit,Mobile Phone,Checking
2018-06-09,Grocery Store,6.76,debit,Groceries,Silver Card
2018-11-04,Netflix,11.76,debit,Television,Platinum Card
2018-06-12,Power Company,60.0,debit,Utilities,Checking
2018-08-09,Credit Card Payment,89.53,debit,Credit Card Payment,Checking
2019-06-21,_RARE_,43.88,debit,Restaurants,Silver Card
2019-08-01,Amazon,13.23,debit,Shopping,Platinum Card
2018-02-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2019-03-30,Credit Card Payment,529.79,credit,Credit Card Payment,Platinum Card
2018-08-15,_RARE_,34.51,debit,Groceries,Platinum Card
2019-02-01,Credit Card Payment,500.08,debit,Credit Card Payment,Checking
2019-05-07,Spotify,70.69,debit,Music,Platinum Card
2018-11-14,_RARE_,2.75,debit,Shopping,Platinum Card
2019-08-13,_RARE_,23.04,debit,Groceries,Silver Card
2019-01-20,Credit Card Payment,431.25,debit,Credit Card Payment,Checking
2018-06-09,Grocery Store,3.8,debit,Groceries,Platinum Card
2019-09-22,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2018-06-25,Internet Service Provider,75.24,debit,Internet,Checking
2019-04-25,Internet Service Provider,75.0,debit,Internet,Checking
2018-10-02,Mortgage Payment,1103.0,debit,Mortgage & Rent,Checking
2019-05-07,Credit Card Payment,575.27,debit,Credit Card Payment,Checking
2019-08-24,Credit Card Payment,252.01,credit,Credit Card Payment,Platinum Card
2018-01-07,Grocery Store,3.81,debit,Groceries,Platinum Card
2018-11-02,Mortgage Payment,1207.44,debit,Mortgage & Rent,Checking
2018-01-25,BP,36.3,debit,Gas & Fuel,Platinum Card
2019-01-18,Credit Card Payment,411.95,debit,Credit Card Payment,Checking
2019-02-27,Shell,36.91,debit,Gas & Fuel,Silver Card
2018-09-14,_RARE_,33.4,debit,Restaurants,Checking
2018-09-13,Grocery Store,2.75,debit,Groceries,Silver Card
2018-06-08,_RARE_,35.04,debit,Gas & Fuel,Platinum Card
2018-04-24,Credit Card Payment,572.99,debit,Credit Card Payment,Checking
2018-06-01,Amazon,23.84,debit,Shopping,Platinum Card
2018-05-15,Power Company,60.0,debit,Utilities,Checking
2018-03-08,Gas Company,30.0,debit,Utilities,Checking
2019-05-10,Barbershop,35.0,debit,Haircut,Silver Card
2019-05-01,Grocery Store,13.09,debit,Restaurants,Silver Card
2018-05-25,American Tavern,13.61,debit,Restaurants,Platinum Card
2019-05-23,BP,32.61,debit,Gas & Fuel,Silver Card
2019-04-17,Greek Restaurant,38.23,debit,Restaurants,Silver Card
2019-02-05,Grocery Store,10.09,debit,Groceries,Platinum Card
2018-03-14,Barbershop,39.4,debit,Mobile Phone,Checking
2018-07-20,Amazon,10.0,debit,Shopping,Platinum Card
2018-11-13,Credit Card Payment,559.82,debit,Credit Card Payment,Checking
2019-09-20,Credit Card Payment,254.76,debit,Credit Card Payment,Checking
2019-06-22,Credit Card Payment,860.07,credit,Credit Card Payment,Silver Card
2018-05-02,Mortgage Payment,1207.44,debit,Mortgage & Rent,Checking
2018-01-06,American Tavern,28.38,debit,Restaurants,Platinum Card
2018-04-21,Credit Card Payment,54.33,debit,Credit Card Payment,Checking
2018-07-21,Grocery Store,49.17,debit,Groceries,Silver Card
2018-07-12,_RARE_,34.1,debit,Gas & Fuel,Silver Card
2018-04-18,State Farm,65.0,debit,Auto Insurance,Checking
2019-09-19,Fancy Restaurant,16.44,debit,Groceries,Platinum Card
2018-07-23,Amazon,18.61,debit,Shopping,Platinum Card
2018-06-28,Grocery Store,12.76,debit,Groceries,Platinum Card
2019-07-27,Hardware Store,35.34,debit,Home Improvement,Silver Card
2019-05-18,Fancy Restaurant,54.59,debit,Gas & Fuel,Platinum Card
2018-04-04,Starbucks,9.75,debit,Coffee Shops,Platinum Card
2018-07-26,Credit Card Payment,451.76,credit,Credit Card Payment,Silver Card
2019-06-12,Amazon,13.65,debit,Shopping,Platinum Card
2018-10-23,Credit Card Payment,198.47,credit,Credit Card Payment,Silver Card
2018-12-31,Mortgage Payment,1247.45,debit,Mortgage & Rent,Checking
2018-05-29,Movie Theater,4.0,debit,Home Improvement,Silver Card
2018-07-26,Mortgage Payment,1260.44,debit,Mortgage & Rent,Checking
2018-01-14,Grocery Store,34.43,debit,Groceries,Platinum Card
2018-04-10,Power Company,30.0,debit,Utilities,Checking
2018-04-04,Mortgage Payment,1140.14,debit,Mortgage & Rent,Checking
2019-04-08,Grocery Store,26.95,debit,Groceries,Silver Card
2018-03-26,Brunch Restaurant,9.62,debit,Restaurants,Silver Card
2018-12-01,Amazon,11.94,debit,Shopping,Platinum Card
2019-08-24,Credit Card Payment,481.06,debit,Credit Card Payment,Checking
2018-11-28,Shell,38.47,debit,Gas & Fuel,Platinum Card
2019-01-09,Spotify,10.6,debit,Music,Platinum Card
2018-03-02,Power Company,30.0,debit,Utilities,Checking
2019-09-09,Amazon,25.03,debit,Shopping,Platinum Card
2018-06-06,Amazon,22.13,debit,Shopping,Platinum Card
2019-04-02,Starbucks,7.0,debit,Coffee Shops,Silver Card
2018-03-15,Grocery Store,6.79,debit,Groceries,Platinum Card
2018-10-19,American Tavern,34.64,debit,Restaurants,Silver Card
2018-01-10,Phone Company,69.21,debit,Mobile Phone,Checking
2018-07-22,Hardware Store,17.41,debit,Home Improvement,Platinum Card
2019-07-20,Credit Card Payment,155.18,credit,Credit Card Payment,Silver Card
2018-12-02,Mortgage Payment,1249.42,debit,Mortgage & Rent,Checking
2019-05-07,Amazon,26.34,debit,Shopping,Platinum Card
2019-04-16,Power Company,75.0,debit,Utilities,Checking
2018-02-10,Phone Company,65.0,debit,Mobile Phone,Checking
2018-09-01,Amazon,13.24,debit,Shopping,Platinum Card
2018-08-17,Power Company,30.0,debit,Utilities,Checking
2019-01-24,Movie Theater,13.0,debit,Alcohol & Bars,Silver Card
2019-02-04,Credit Card Payment,511.76,credit,Credit Card Payment,Platinum Card
2018-04-01,_RARE_,23.48,debit,Restaurants,Silver Card
2019-08-09,Spotify,70.09,debit,Music,Platinum Card
2018-05-18,Amazon,24.09,debit,Shopping,Platinum Card
2018-05-06,Credit Card Payment,152.39,credit,Credit Card Payment,Platinum Card
2018-03-28,Barbershop,91.78,debit,Gas & Fuel,Silver Card
2018-12-15,Power Company,60.0,debit,Utilities,Checking
2019-07-18,Brewing Company,228.83,debit,Alcohol & Bars,Silver Card
2018-09-11,BP,38.26,debit,Gas & Fuel,Silver Card
2018-06-20,Starbucks,3.57,debit,Coffee Shops,Platinum Card
2018-11-09,Thai Restaurant,19.66,debit,Restaurants,Platinum Card
2019-04-30,Brunch Restaurant,4.9,debit,Restaurants,Platinum Card
2018-06-18,Brunch Restaurant,54.0,debit,Restaurants,Silver Card
2019-03-16,Credit Card Payment,212.73,debit,Credit Card Payment,Checking
2018-10-07,Grocery Store,55.63,debit,Groceries,Platinum Card
2018-03-12,Credit Card Payment,554.49,debit,Credit Card Payment,Platinum Card
2019-06-07,Amazon,19.32,debit,Shopping,Platinum Card
2018-06-22,Internet Service Provider,75.29,debit,Internet,Checking
2018-04-14,Internet Service Provider,77.99,debit,Internet,Checking
2018-12-06,Credit Card Payment,910.0,debit,Credit Card Payment,Checking
2019-06-15,Credit Card Payment,7.07,debit,Credit Card Payment,Checking
2018-10-02,Mortgage Payment,1247.48,debit,Mortgage & Rent,Checking
2019-01-27,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-07-06,Starbucks,11.89,debit,Coffee Shops,Silver Card
2019-09-10,Grocery Store,14.76,debit,Groceries,Platinum Card
2019-08-05,Credit Card Payment,1643.97,credit,Credit Card Payment,Platinum Card
2018-09-19,_RARE_,39.01,debit,Haircut,Platinum Card
2018-05-02,Mortgage Payment,1249.44,debit,Mortgage & Rent,Checking
2019-07-09,Spotify,10.69,debit,Music,Platinum Card
2018-09-09,Gas Company,27.0,debit,Utilities,Checking
2018-01-08,Hardware Store,58.11,debit,Home Improvement,Platinum Card
2019-07-13,Credit Card Payment,793.5,credit,Credit Card Payment,Silver Card
2019-09-05,Brewing Company,29.0,debit,Alcohol & Bars,Silver Card
2019-01-12,Phone Company,65.0,debit,Mobile Phone,Checking
2018-05-27,_RARE_,38.43,debit,Restaurants,Platinum Card
2018-07-15,Grocery Store,36.14,debit,Groceries,Silver Card
2019-06-27,Hardware Store,30.22,debit,Home Improvement,Platinum Card
2019-02-01,Starbucks,13.0,debit,Coffee Shops,Silver Card
2018-04-26,Hardware Store,14.69,debit,Home Improvement,Silver Card
2019-08-23,Grocery Store,11.37,debit,Groceries,Platinum Card
2019-04-21,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-06-25,Internet Service Provider,75.0,debit,Internet,Checking
2018-03-08,Credit Card Payment,711.79,credit,Credit Card Payment,Platinum Card
2018-03-02,_RARE_,19.29,debit,Restaurants,Platinum Card
2019-02-04,Netflix,13.7,debit,Movies & DVDs,Platinum Card
2018-01-07,Brewing Company,12.51,debit,Alcohol & Bars,Platinum Card
2018-10-14,_RARE_,39.1,debit,Movies & DVDs,Platinum Card
2019-08-20,Amazon,16.56,debit,Shopping,Platinum Card
2018-07-26,Credit Card Payment,741.84,debit,Credit Card Payment,Checking
2018-05-13,_RARE_,30.68,debit,Gas & Fuel,Platinum Card
2018-11-29,Grocery Store,7.25,debit,Groceries,Platinum Card
2018-12-18,Hardware Store,49.89,debit,Home Improvement,Platinum Card
2019-06-10,Grocery Store,28.97,debit,Groceries,Platinum Card
2018-10-06,Grocery Store,11.72,debit,Groceries,Platinum Card
2018-04-18,State Farm,75.0,debit,Auto Insurance,Checking
2019-06-08,Barbershop,50.0,debit,Haircut,Platinum Card
2018-04-20,City Water Charges,35.4,debit,Utilities,Checking
2019-02-23,Grocery Store,4.26,debit,Groceries,Silver Card
2018-09-16,Thai Restaurant,25.18,debit,Restaurants,Platinum Card
2018-04-19,City Water Charges,35.0,debit,Utilities,Checking
2018-03-09,Spotify,10.69,debit,Music,Platinum Card
2018-11-22,QuikTrip,30.15,debit,Gas & Fuel,Silver Card
2018-04-21,Grocery Store,9.07,debit,Groceries,Silver Card
2019-03-12,Credit Card Payment,353.69,credit,Credit Card Payment,Silver Card
2018-06-21,Amazon,14.12,debit,Shopping,Platinum Card
2019-04-08,Fancy Restaurant,25.62,debit,Restaurants,Silver Card
2018-04-18,Credit Card Payment,361.73,debit,Credit Card Payment,Checking
2018-06-08,_RARE_,29.63,debit,Restaurants,Platinum Card
2019-04-15,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2019-05-09,Amazon,13.99,debit,Shopping,Platinum Card
2018-12-03,Credit Card Payment,253.64,credit,Credit Card Payment,Platinum Card
2018-07-06,Credit Card Payment,353.07,credit,Credit Card Payment,Platinum Card
2018-03-10,Thai Restaurant,25.0,debit,Restaurants,Silver Card
2019-04-04,Netflix,11.71,debit,Television,Platinum Card
2018-08-02,Credit Card Payment,221.34,debit,Credit Card Payment,Checking
2018-01-08,Movie Theater,11.76,debit,Movies & DVDs,Silver Card
2018-06-17,_RARE_,33.93,debit,Gas & Fuel,Platinum Card
2018-06-12,BP,35.61,debit,Gas & Fuel,Silver Card
2019-01-06,_RARE_,24.01,debit,Restaurants,Silver Card
2019-09-01,Amazon,23.22,debit,Shopping,Platinum Card
2019-03-06,Amazon,46.68,debit,Shopping,Platinum Card
2019-06-27,Barbershop,80.0,debit,Haircut,Silver Card
2019-01-25,Internet Service Provider,75.0,debit,Internet,Checking
2018-04-16,City Water Charges,39.0,debit,Utilities,Checking
2019-02-23,Grocery Store,42.61,debit,Groceries,Platinum Card
2019-05-10,Gas Company,85.0,debit,Utilities,Checking
2019-08-23,Credit Card Payment,352.98,credit,Credit Card Payment,Platinum Card
2018-03-21,Grocery Store,4.63,debit,Groceries,Silver Card
2018-05-09,Gas Company,30.0,debit,Utilities,Checking
2019-05-06,Mortgage Payment,2247.0,debit,Mortgage & Rent,Checking
2018-06-17,Amazon,18.99,debit,Shopping,Platinum Card
2018-04-20,Brewing Company,19.41,debit,Coffee Shops,Silver Card
2018-05-23,Amazon,17.03,debit,Shopping,Platinum Card
2019-08-01,Brunch Restaurant,44.62,debit,Restaurants,Platinum Card
2019-02-19,City Water Charges,35.0,debit,Utilities,Checking
2018-05-16,Shell,34.52,debit,Gas & Fuel,Silver Card
2018-07-16,Brewing Company,29.0,debit,Restaurants,Silver Card
2018-08-22,Brunch Restaurant,16.5,debit,Alcohol & Bars,Silver Card
2018-06-09,Spotify,10.69,debit,Music,Platinum Card
2019-01-10,Phone Company,60.0,debit,Haircut,Platinum Card
2018-11-25,Internet Service Provider,71.39,debit,Internet,Checking
2018-01-25,Internet Service Provider,75.0,debit,Internet,Checking
2019-05-20,State Farm,2.75,debit,Auto Insurance,Checking
2019-01-06,State Farm,70.0,debit,Auto Insurance,Checking
2019-06-18,Credit Card Payment,555.03,debit,Credit Card Payment,Checking
2018-12-04,Netflix,11.76,debit,Television,Platinum Card
2018-02-09,Thai Restaurant,22.17,debit,Restaurants,Platinum Card
2018-05-12,Shell,13.33,debit,Gas & Fuel,Platinum Card
2018-09-26,Credit Card Payment,63.53,debit,Credit Card Payment,Platinum Card
2018-01-17,Credit Card Payment,339.11,debit,Credit Card Payment,Checking
2019-06-15,Grocery Store,28.57,debit,Groceries,Silver Card
2018-04-01,Amazon,4.14,debit,Shopping,Platinum Card
2018-04-04,_RARE_,12.74,debit,Movies & DVDs,Silver Card
2018-08-19,Shell,30.06,debit,Gas & Fuel,Silver Card
2018-10-23,Hardware Store,44.39,debit,Restaurants,Silver Card
2019-03-14,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-04-04,_RARE_,11.11,debit,Movies & DVDs,Platinum Card
2018-04-17,Grocery Store,86.8,debit,Groceries,Platinum Card
2019-09-23,Brewing Company,26.0,debit,Alcohol & Bars,Silver Card
2019-03-09,Spotify,10.69,debit,Music,Platinum Card
2019-04-23,Credit Card Payment,264.33,credit,Credit Card Payment,Platinum Card
2019-04-17,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-05-12,Credit Card Payment,262.92,credit,Credit Card Payment,Platinum Card
2018-09-19,Hardware Store,23.85,debit,Home Improvement,Platinum Card
2018-07-20,Credit Card Payment,29.37,credit,Credit Card Payment,Platinum Card
2018-03-04,Credit Card Payment,516.16,credit,Credit Card Payment,Silver Card
2018-06-11,Hardware Store,6.47,debit,Home Improvement,Silver Card
2018-01-22,Credit Card Payment,103.08,credit,Credit Card Payment,Platinum Card
2018-07-04,Barbershop,38.0,debit,Haircut,Platinum Card
2018-12-28,Hardware Store,41.28,debit,Home Improvement,Platinum Card
2018-04-08,Greek Restaurant,84.54,debit,Restaurants,Platinum Card
2018-12-15,Credit Card Payment,65.08,debit,Credit Card Payment,Checking
2018-01-06,Netflix,13.76,debit,Television,Platinum Card
2019-04-04,Barbershop,19.0,debit,Haircut,Platinum Card
2018-12-25,Internet Service Provider,65.0,debit,Internet,Checking
2019-04-08,Credit Card Payment,1150.68,credit,Credit Card Payment,Platinum Card
2019-03-24,Grocery Store,30.65,debit,Groceries,Silver Card
2019-01-26,Hardware Store,17.99,debit,Home Improvement,Platinum Card
2019-06-15,Brunch Restaurant,16.83,debit,Restaurants,Silver Card
2018-11-13,Hardware Store,41.03,debit,Home Improvement,Silver Card
2019-05-25,Credit Card Payment,467.2,debit,Credit Card Payment,Silver Card
2019-05-04,Gas Company,33.0,debit,Utilities,Checking
2018-08-01,BP,39.14,debit,Gas & Fuel,Platinum Card
2018-07-02,Mortgage Payment,1260.0,debit,Mortgage & Rent,Checking
2018-01-21,American Tavern,26.52,debit,Restaurants,Silver Card
2019-09-11,Brewing Company,12.76,debit,Alcohol & Bars,Platinum Card
2018-01-18,Shell,34.29,debit,Gas & Fuel,Platinum Card
2018-01-22,Hardware Store,66.58,debit,Home Improvement,Platinum Card
2019-01-26,Phone Company,74.09,debit,Mobile Phone,Checking
2019-02-09,Credit Card Payment,291.15,credit,Credit Card Payment,Platinum Card
2019-06-20,Grocery Store,66.04,debit,Groceries,Silver Card
2018-11-28,Credit Card Payment,102.32,credit,Credit Card Payment,Platinum Card
2019-02-22,Credit Card Payment,268.34,debit,Credit Card Payment,Checking
2018-02-01,Amazon,13.17,debit,Shopping,Platinum Card
2019-01-10,Grocery Store,11.44,debit,Groceries,Platinum Card
2018-01-28,Brewing Company,16.6,debit,Alcohol & Bars,Silver Card
2018-10-12,BP,26.85,debit,Gas & Fuel,Silver Card
2019-05-24,American Tavern,26.04,debit,Restaurants,Silver Card
